model_version,base_model
gpt-4o,gpt
gpt-4,gpt
llama-3,llama
claude-3.5-sonnet,claude
o1,o1
llama-3-70b,llama
deepseek-r1,deepseek
mistral-7b,mistral
claude-3-opus,claude
gemini-1.5-pro,gemini
gpt-3.5,gpt
mixtral,mixtral
gemini,gemini
deepseek-v3,deepseek
o1-preview,o1-preview
claude-3,claude
gpt-4-turbo,gpt
chatgpt,chatgpt
llama-3-8b,llama
gpt-4o-mini,gpt
claude,claude
llama-3-1,llama
claude-3-sonnet,claude
o3,o3
gpt-4.5,gpt
llama-3-1-405b,llama
gemini-1.5,gemini
gemini-2.5-pro,gemini
o3-mini,o3-mini
gpt-5,gpt
qwen-2.5,qwen
claude-3.5,claude
gemini-pro,gemini-pro
grok-3,grok
o1-mini,o1-mini
claude-3.7-sonnet,claude
gemini-1.5-flash,gemini
claude-3-haiku,claude
mixtral-8x7b,mixtral
llama-3-2,llama
gemma-2,gemma
gpt-3.5-turbo,gpt
gemini-2.0-flash,gemini
gpt-4.1,gpt
o4-mini,o4-mini
llama-cpp,llama-cpp
mistral,mistral
llama-2,llama
gemma-3,gemma
claude-3.5-haiku,claude
phi-3,phi
llama-2-70b,llama
mistral-large,mistral-large
mistral-medium,mistral-medium
gpt-2,gpt
gemini-ultra,gemini-ultra
gpt-3,gpt
stable-diffusion-3,stable-diffusion
imagen-3,imagen
llama-3-405b,llama
llama-2-7b,llama
llama-3-1-8b,llama
gemma-2b,gemma
deepseek-coder-v2,deepseek-coder
llama,llama
qwen-2,qwen
llama-3.1,llama
claude-2.1,claude
bard,bard
deepseek-v3-0324,deepseek
grok-3-mini,grok
gpt-4o-2024-08-06,gpt
o3-mini-high,o3-mini-high
claude-3.7,claude
gpt-3.5-turbo-0613,gpt
qwen-2.5-vl,qwen
deepseek-v2,deepseek
claude-3-7-sonnet,claude
mistral-large-2,mistral-large
llama-3-1-70b,llama
jamba-1.5,jamba
gemma-7b,gemma
llama-3.1-70b,llama
qwq-32b,qwq
sora,sora
gemma-2-2b,gemma
dall-e-3,dall-e
phi-4,phi
grok-2,grok
gemini-2.0-pro,gemini
gemini-2.5-flash,gemini
opus,opus
gemini-advanced,gemini-advanced
gemma,gemma
qwen-2.5-max,qwen
dbrx,dbrx
chatgpt-4o,chatgpt
llama-3.1-8b,llama
miqumaid,miqumaid
mamba-2,mamba
gemini-2.0-flash-thinking,gemini
phi-3.5,phi
flux-1,flux
llamaindex,llamaindex
veo,veo
phi-2,phi
chameleon-7b,chameleon
llava,llava
stable-diffusion-3.5,stable-diffusion
gemma-2-9b,gemma
gemma-2-27b,gemma
miqu-70b,miqu
qwen-1.5,qwen
gemma-3-27b,gemma
claude-3-5-sonnet,claude
llama-3-400b,llama
qwen-72b,qwen
claude-3-5,claude
gemini-exp-1206,gemini-exp
mamba,mamba
stable-diffusion-1.5,stable-diffusion
command-r,command-r
phi-3-mini,phi
qlora,qlora
mistral-nemo-12b,mistral-nemo
dall-e,dall-e
nemotron-4-340b,nemotron
sam-2,sam
o1-pro,o1-pro
llama-4,llama
phi-4-multimodal,phi
gpt-4-0613,gpt
cosxl,cosxl
prime,prime
tulu-3,tulu
qwen,qwen
llama-3-2-vision,llama
alphafold-3,alphafold
cogvideox,cogvideox
vllm,vllm
deepseek-v2.5,deepseek
olmo-7b,olmo
llama-3-120b,llama
vasa-1,vasa
jamba,jamba
smollm2,smollm2
qwen-2.5-32b,qwen
alphageometry-2,alphageometry
reka-core,reka-core
llama-3.1-405b,llama
exllamav2,exllamav2
stable-diffusion,stable-diffusion
pixtral-12b,pixtral
miqu,miqu
llama-2-70b-instruct,llama
claude-opus,claude-opus
openhermes-2.5,openhermes
devin,devin
inflection-2.5,inflection
sonnet-3.5,sonnet
command-r7b,command
embed-3,embed
llama-8b,llama
openelm,openelm
nemotron,nemotron
bitnet-b1.58,bitnet
sdxl,sdxl
grok-1,grok
solar-10.7b,solar
miqu-1-70b,miqu
openhermes-2.5-mistral-7b,openhermes
mixtral-7b,mixtral
mistral-8x22b,mistral
mistral-next,mistral-next
minimax-01,minimax
llama-3.3-70b,llama
mixtral-8x22b,mixtral
qwen-32b,qwen
command-r-plus,command-r-plus
molmo,molmo
sky-t1-32b-preview,sky
nemotron-70b,nemotron
qwen2.5-coder-32b-instruct,qwen2.5-coder
deepseek-r1-distilled-qwen-1.5b,deepseek
gpt-4.1-nano,gpt
moondream,moondream
llama-2-7b-chat,llama
llama-3-2-3b,llama
xlstm,xlstm
mistral-small-3,mistral-small
grok,grok
llama-4-maverick,llama
gemini-2.0,gemini
hermes-2.5,hermes
veo-2,veo
claude-2,claude
phi,phi
palm2,palm2
gpt-4.1-mini,gpt
